ADS1115 CONFIG: 0x8488
XU4 Microsecond: 3640253, ADC Sample: -277
XU4 Microsecond: 3648277, ADC Sample: -352
XU4 Microsecond: 3656307, ADC Sample: -354
XU4 Microsecond: 3664351, ADC Sample: -406
XU4 Microsecond: 3672360, ADC Sample: -461
XU4 Microsecond: 3680376, ADC Sample: -402
XU4 Microsecond: 3688405, ADC Sample: -534
XU4 Microsecond: 3696427, ADC Sample: -420
XU4 Microsecond: 3704487, ADC Sample: -571
XU4 Microsecond: 3712486, ADC Sample: -423
XU4 Microsecond: 3720531, ADC Sample: -590
XU4 Microsecond: 3728560, ADC Sample: -479
XU4 Microsecond: 3736879, ADC Sample: -570
XU4 Microsecond: 3744615, ADC Sample: -309
XU4 Microsecond: 3752618, ADC Sample: -513
XU4 Microsecond: 3760658, ADC Sample: -273
XU4 Microsecond: 3768691, ADC Sample: -440
XU4 Microsecond: 3776724, ADC Sample: -252
XU4 Microsecond: 3784728, ADC Sample: -366
XU4 Microsecond: 3792758, ADC Sample: -245
XU4 Microsecond: 3800778, ADC Sample: -244
XU4 Microsecond: 3808854, ADC Sample: -116
XU4 Microsecond: 3816834, ADC Sample: -106
XU4 Microsecond: 3824860, ADC Sample: -46
XU4 Microsecond: 3832888, ADC Sample: -10
XU4 Microsecond: 3840917, ADC Sample: 23
XU4 Microsecond: 3848937, ADC Sample: 96
XU4 Microsecond: 3856982, ADC Sample: 104
XU4 Microsecond: 3865021, ADC Sample: 204
XU4 Microsecond: 3873044, ADC Sample: 198
XU4 Microsecond: 3881058, ADC Sample: 282
XU4 Microsecond: 3889077, ADC Sample: 306
XU4 Microsecond: 3897115, ADC Sample: 310
XU4 Microsecond: 3905145, ADC Sample: 409
XU4 Microsecond: 3913211, ADC Sample: 361
XU4 Microsecond: 3921210, ADC Sample: 483
XU4 Microsecond: 3929228, ADC Sample: 395
XU4 Microsecond: 3937244, ADC Sample: 565
XU4 Microsecond: 3945274, ADC Sample: 337
XU4 Microsecond: 3953295, ADC Sample: 580
XU4 Microsecond: 3961330, ADC Sample: 426
XU4 Microsecond: 3969387, ADC Sample: 590
XU4 Microsecond: 3977417, ADC Sample: 367
XU4 Microsecond: 3985433, ADC Sample: 561
XU4 Microsecond: 3993462, ADC Sample: 323
XU4 Microsecond: 4001472, ADC Sample: 531
XU4 Microsecond: 4009780, ADC Sample: 315
XU4 Microsecond: 4017556, ADC Sample: 455
XU4 Microsecond: 4025591, ADC Sample: 277
XU4 Microsecond: 4033625, ADC Sample: 343
XU4 Microsecond: 4041620, ADC Sample: 235
XU4 Microsecond: 4049645, ADC Sample: 233
XU4 Microsecond: 4057667, ADC Sample: 141
XU4 Microsecond: 4065704, ADC Sample: 140
XU4 Microsecond: 4073704, ADC Sample: 41
XU4 Microsecond: 4081754, ADC Sample: 19
XU4 Microsecond: 4089769, ADC Sample: -26
XU4 Microsecond: 4097789, ADC Sample: -88
XU4 Microsecond: 4105810, ADC Sample: -114
XU4 Microsecond: 4113878, ADC Sample: -185
XU4 Microsecond: 4121875, ADC Sample: -221
XU4 Microsecond: 4129901, ADC Sample: -252
XU4 Microsecond: 4137928, ADC Sample: -339
XU4 Microsecond: 4145956, ADC Sample: -265
XU4 Microsecond: 4154008, ADC Sample: -437
XU4 Microsecond: 4162005, ADC Sample: -297
XU4 Microsecond: 4170024, ADC Sample: -525
XU4 Microsecond: 4178058, ADC Sample: -329
XU4 Microsecond: 4186120, ADC Sample: -570
XU4 Microsecond: 4194124, ADC Sample: -351
XU4 Microsecond: 4202147, ADC Sample: -584
XU4 Microsecond: 4210168, ADC Sample: -413
XU4 Microsecond: 4218237, ADC Sample: -595
XU4 Microsecond: 4226238, ADC Sample: -380
XU4 Microsecond: 4234249, ADC Sample: -522
XU4 Microsecond: 4242268, ADC Sample: -364
XU4 Microsecond: 4250308, ADC Sample: -498
XU4 Microsecond: 4258326, ADC Sample: -362
XU4 Microsecond: 4266380, ADC Sample: -455
XU4 Microsecond: 4274397, ADC Sample: -311
XU4 Microsecond: 4282440, ADC Sample: -293
XU4 Microsecond: 4290451, ADC Sample: -243
XU4 Microsecond: 4298476, ADC Sample: -217
XU4 Microsecond: 4306504, ADC Sample: -137
XU4 Microsecond: 4314524, ADC Sample: -94
XU4 Microsecond: 4322597, ADC Sample: -32
XU4 Microsecond: 4330582, ADC Sample: -40
XU4 Microsecond: 4338604, ADC Sample: 35
XU4 Microsecond: 4346622, ADC Sample: 88
XU4 Microsecond: 4354673, ADC Sample: 99
XU4 Microsecond: 4362736, ADC Sample: 192
XU4 Microsecond: 4370707, ADC Sample: 220
XU4 Microsecond: 4378724, ADC Sample: 190
XU4 Microsecond: 4386767, ADC Sample: 332
XU4 Microsecond: 4394774, ADC Sample: 279
XU4 Microsecond: 4402838, ADC Sample: 443
XU4 Microsecond: 4410850, ADC Sample: 309
XU4 Microsecond: 4418887, ADC Sample: 505
XU4 Microsecond: 4426916, ADC Sample: 305
XU4 Microsecond: 4434927, ADC Sample: 577
XU4 Microsecond: 4442962, ADC Sample: 383
XU4 Microsecond: 4450990, ADC Sample: 581
XU4 Microsecond: 4459008, ADC Sample: 406
XU4 Microsecond: 4467054, ADC Sample: 532
XU4 Microsecond: 4475072, ADC Sample: 435
XU4 Microsecond: 4483088, ADC Sample: 574
XU4 Microsecond: 4491244, ADC Sample: 374
XU4 Microsecond: 4499181, ADC Sample: 516
XU4 Microsecond: 4507179, ADC Sample: 371
XU4 Microsecond: 4515208, ADC Sample: 428
