ADS1115 CONFIG: 0x8488
XU4 Microsecond: 3628297, ADC Sample: 484
XU4 Microsecond: 3636324, ADC Sample: 471
XU4 Microsecond: 3644350, ADC Sample: 472
XU4 Microsecond: 3652377, ADC Sample: 517
XU4 Microsecond: 3660404, ADC Sample: 478
XU4 Microsecond: 3668431, ADC Sample: 515
XU4 Microsecond: 3676458, ADC Sample: 409
XU4 Microsecond: 3684486, ADC Sample: 569
XU4 Microsecond: 3692513, ADC Sample: 443
XU4 Microsecond: 3700540, ADC Sample: 571
XU4 Microsecond: 3708574, ADC Sample: 335
XU4 Microsecond: 3716599, ADC Sample: 569
XU4 Microsecond: 3724628, ADC Sample: 397
XU4 Microsecond: 3732654, ADC Sample: 569
XU4 Microsecond: 3740681, ADC Sample: 383
XU4 Microsecond: 3748708, ADC Sample: 578
XU4 Microsecond: 3756734, ADC Sample: 383
XU4 Microsecond: 3764762, ADC Sample: 581
XU4 Microsecond: 3772788, ADC Sample: 384
XU4 Microsecond: 3780816, ADC Sample: 608
XU4 Microsecond: 3788843, ADC Sample: -352
XU4 Microsecond: 3796868, ADC Sample: -565
XU4 Microsecond: 3804897, ADC Sample: -456
XU4 Microsecond: 3812927, ADC Sample: -561
XU4 Microsecond: 3820950, ADC Sample: -467
XU4 Microsecond: 3828981, ADC Sample: -527
XU4 Microsecond: 3837006, ADC Sample: -453
XU4 Microsecond: 3845035, ADC Sample: -621
XU4 Microsecond: 3853062, ADC Sample: -520
XU4 Microsecond: 3861087, ADC Sample: -524
XU4 Microsecond: 3869115, ADC Sample: -538
XU4 Microsecond: 3877141, ADC Sample: -505
XU4 Microsecond: 3885169, ADC Sample: -568
XU4 Microsecond: 3893196, ADC Sample: -421
XU4 Microsecond: 3901223, ADC Sample: -599
XU4 Microsecond: 3909252, ADC Sample: -441
XU4 Microsecond: 3917277, ADC Sample: -623
XU4 Microsecond: 3925300, ADC Sample: -487
XU4 Microsecond: 3933330, ADC Sample: -619
XU4 Microsecond: 3941358, ADC Sample: -421
XU4 Microsecond: 3949384, ADC Sample: -621
XU4 Microsecond: 3957412, ADC Sample: -225
XU4 Microsecond: 3965438, ADC Sample: -624
XU4 Microsecond: 3973464, ADC Sample: -449
XU4 Microsecond: 3981492, ADC Sample: -626
