ADS1115 CONFIG: 0x8488
XU4 Microsecond: 1815988, ADC Sample: -395
XU4 Microsecond: 1823846, ADC Sample: -482
XU4 Microsecond: 1831699, ADC Sample: -294
XU4 Microsecond: 1839558, ADC Sample: -370
XU4 Microsecond: 1847412, ADC Sample: -404
XU4 Microsecond: 1855268, ADC Sample: -304
XU4 Microsecond: 1863123, ADC Sample: -250
XU4 Microsecond: 1870979, ADC Sample: -295
XU4 Microsecond: 1878835, ADC Sample: -147
XU4 Microsecond: 1886691, ADC Sample: -402
XU4 Microsecond: 1894544, ADC Sample: -78
XU4 Microsecond: 1902401, ADC Sample: 19
XU4 Microsecond: 1910255, ADC Sample: -40
XU4 Microsecond: 1918121, ADC Sample: -83
XU4 Microsecond: 1925966, ADC Sample: 7
XU4 Microsecond: 1933852, ADC Sample: -65
XU4 Microsecond: 1941682, ADC Sample: 82
XU4 Microsecond: 1949534, ADC Sample: 101
XU4 Microsecond: 1957388, ADC Sample: 169
XU4 Microsecond: 1965245, ADC Sample: 125
XU4 Microsecond: 1973102, ADC Sample: 228
XU4 Microsecond: 1980956, ADC Sample: 222
XU4 Microsecond: 1988811, ADC Sample: 327
XU4 Microsecond: 1996666, ADC Sample: 270
XU4 Microsecond: 2004522, ADC Sample: 348
XU4 Microsecond: 2012390, ADC Sample: 374
XU4 Microsecond: 2020233, ADC Sample: 368
XU4 Microsecond: 2028088, ADC Sample: 462
XU4 Microsecond: 2035943, ADC Sample: 406
XU4 Microsecond: 2043800, ADC Sample: 539
XU4 Microsecond: 2051656, ADC Sample: 506
XU4 Microsecond: 2059510, ADC Sample: 678
XU4 Microsecond: 2067365, ADC Sample: 515
XU4 Microsecond: 2075221, ADC Sample: 757
XU4 Microsecond: 2083068, ADC Sample: 546
XU4 Microsecond: 2090935, ADC Sample: 819
XU4 Microsecond: 2098790, ADC Sample: 570
XU4 Microsecond: 2106644, ADC Sample: 940
XU4 Microsecond: 2114500, ADC Sample: 736
XU4 Microsecond: 2122354, ADC Sample: 955
XU4 Microsecond: 2130211, ADC Sample: 838
XU4 Microsecond: 2138066, ADC Sample: 1060
XU4 Microsecond: 2145919, ADC Sample: 942
XU4 Microsecond: 2153819, ADC Sample: 1008
XU4 Microsecond: 2161654, ADC Sample: 1044
XU4 Microsecond: 2169488, ADC Sample: 1020
XU4 Microsecond: 2177346, ADC Sample: 1148
XU4 Microsecond: 2185198, ADC Sample: 847
